stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self
0.09677526181680163,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,35.0,1610.0,1.0
0.09500218952625512,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,68.0,885.0,1.0
0.09752900246744453,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,53.0,1197.0,1.0
0.09688069341150228,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,60.0,922.0,1.0
0.09743262638588242,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,49.0,1350.0,1.0
0.09752428281390985,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,1.0
0.09707840911931256,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,104.0,1.0
0.09680299292811341,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,1.0
0.09613597196492137,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,1.0
0.09552757278066705,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,66.0,751.0,1.0
0.09665402435196638,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,1.0
0.09776848639073463,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,63.0,963.0,1.0
0.09675931591348749,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,49.0,1667.0,1.0
0.0945995987282107,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,1.0
0.09653752270996625,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,100.0,182.0,1.0
0.09045218133213508,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,481.0,1.0
0.09128388754888155,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,478.0,1.0
0.09094034642568184,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,482.0,1.0
0.0893458064578831,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,478.0,1.0
0.08911604972170271,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,644.0,1.0
0.0885813637725264,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,450.0,1.0
0.08990659347303073,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,602.0,1.0
0.09117425100195291,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,637.0,1.0
0.0911560346881579,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,482.0,1.0
0.09098868926456401,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,554.0,1.0
0.08891062024357457,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,691.0,1.0
0.08999341343268737,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,4.0,621.0,1.0
0.0895147040650635,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,655.0,1.0
0.08949374932986302,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,465.0,1.0
0.0895181554043101,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,413.0,1.0
0.09160964474117556,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,14.0,423.0,1.0
0.09182931988388279,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,4.0,484.0,1.0
0.08973785821729358,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,4.0,662.0,1.0
